station,window_start,window_end,amb_resets,cn0,code_wrms,h_conv,mp1,mp2,mp5,mw12,mw15,mw25,phase_wrms,satellite_gaps,uptime,v_conv,score,rank
ADIS,2019-01-01,2025-12-31,0.8478183843525878,0.9758250662031066,0.7227753187065701,0.8493483823953091,0.2388097990342025,0.3384527755324319,0.3917061805442681,0.26169915785633463,0.2775993999680211,0.376213306942695,0.6474790168317395,0.3641424319938219,0.5185764567852953,0.8566273989701981,0.6990201901997477,73
WIND,2019-01-01,2025-12-31,0.9381637140556287,0.9228445797751053,0.5651011023673094,0.8371693017158424,0.9275825855595005,0.510229243701538,0.3649949609323256,0.6782241936443547,0.44176258531488666,0.5291437711957134,0.6109891577520935,0.2953971755685364,0.9534610872115761,0.8560947598190974,0.6988472042294502,74
KZN2,2019-01-01,2025-12-31,0.9425693022073668,0.8683601255065677,0.49147634288248887,0.7457647049897957,0.8106843954063929,0.9339665158893397,0.711869096729736,0.7087604772311814,0.7127612896114112,0.8323802160222915,0.7079651368587694,0.12189028922894685,0.5795854517012123,0.805682320892221,0.6978213968382768,75
FALK,2019-01-01,2025-12-31,0.9352720132848227,0.8185080842534386,0.5308906832275883,0.8964377827953343,0.28904538140914277,0.25923419413553084,0.19984334491399147,0.40767667762427173,0.36531340711219873,0.32501679109511994,0.6146692644034125,0.3169175220422341,0.993351583887368,0.8786632795595848,0.6975715050663596,76
LCK4,2019-01-01,2025-12-31,0.8571184618718126,0.913084409403435,0.676142957269471,0.8403662320762743,0.5975875747959466,0.5322460364539628,0.35442126973930066,0.15961738460739883,0.30494628143615327,0.45292392051124514,0.5878509513780613,0.6651996117298339,0.7004301916308173,0.8435748022425313,0.696829675146245,77
STPM,2019-01-01,2025-12-31,0.9323449548004294,0.8913193924458842,0.4335326871903196,0.8424637749507764,0.46861499974215504,0.6142352099069315,0.6578323159444407,0.3165950602795759,0.6271083637327372,0.7121746643962276,0.6122017009939458,0.5667989716390323,0.7536175205318733,0.8442486521691935,0.69589837163729,78
OHI2,2019-01-01,2025-12-31,0.936588385348658,0.9098197158540701,0.4278616545120963,0.8954431960049938,0.9063989230164516,0.7007790710002131,0.3497757500033616,0.8215859353808781,0.6330075192828944,0.6229618060544,0.6275887860113206,0.42448849699386526,0.6280797809933516,0.8820315221177291,0.6952075644885416,79
KAT1,2019-01-01,2025-12-31,0.9063342601674782,0.8781155986248759,0.6202361599154328,0.8916578376584106,0.2880742483436276,0.30960035784693796,0.3287763041921717,0.33275263030096186,0.3374706306124428,0.4561364442736961,0.5414569553599233,0.822357994955365,0.9749706687524443,0.8479744344743857,0.6940741501704505,80
POLV,2019-01-01,2025-12-31,0.9464400189386749,0.9738376389021657,0.7176737374732083,0.8231424429140993,0.19200306222725932,0.24506846958274112,0.27244228998444514,0.4003738124222937,0.35332499476337575,0.4369633495693142,0.6127476762329785,0.11791867896801544,0.9777082518576456,0.8292929644048944,0.6938847785882649,81
CHTI,2019-01-01,2025-12-31,0.948449762652386,0.9130071092123518,0.6099211900662941,0.8741280791208116,0.28204343946763566,0.24530398527413577,0.1748125367951668,0.3235309061173787,0.3113782388853367,0.40262941180817596,0.6329957700061116,0.2142927096912336,0.5717637856863512,0.8587646628431164,0.6911736513118988,82
MCIL,2019-01-01,2025-12-31,0.8425747280119608,0.8970246274253141,0.7215264586069047,0.8575062421972534,0.5246755938938562,0.46651988473441564,0.349258599886719,0.20326019160142977,0.31411753044382185,0.24883698224252046,0.6179149065563446,0.2062850005417165,0.9941337504888541,0.8294334975369457,0.6909366521569545,83
EUR2,2019-01-01,2025-12-31,0.6190591632180199,0.8603390254034746,0.468605754107312,0.8812332427757744,0.17378020239132494,0.32743653324012195,0.5670883965686364,0.32039634047234794,0.42084253965444235,0.6766997970977229,0.7364234001942773,0.4474976885037768,0.9968713335940556,0.8592579452260415,0.6875765950484583,84
GAMB,2019-01-01,2025-12-31,0.8487399857212351,0.9004366900256696,0.6820951663537799,0.8554019367902912,0.4886486378603108,0.5509390183447241,0.4817925152967895,0.13692475754425262,0.24513093205678663,0.42016376660298516,0.5719194484740476,0.47839828202591783,0.9655846695346109,0.8231331820808027,0.6870553394722718,85
HKSL,2019-01-01,2025-12-31,0.8682788086858367,0.9542796769545685,0.6816188255424771,0.8507995691819019,0.2086917606007577,0.283128412254393,0.32284888565691394,0.2743081252944534,0.2640346142060946,0.4629375764950951,0.5696885208700383,0.4271642404613789,0.9714509190457568,0.8428282304826465,0.686212923955375,86
CKIS,2019-01-01,2025-12-31,0.8696696059707718,0.8800526780817487,0.5159554271587437,0.8754493845443911,0.3815257766142454,0.36285669016077665,0.3330540534001912,0.23401882549935607,0.2756856015408142,0.3311619182108153,0.5868983713686572,0.5120936661621874,0.8275322643723113,0.8520608964858545,0.6825354128303949,87
AUCK,2019-01-01,2025-12-31,0.9613323015403992,0.90991339262149,0.4591792933758395,0.8591388333076804,0.3155919887749253,0.23388903339970385,0.16580415868892193,0.33957735984208925,0.3059745959530412,0.3901981792268673,0.6269273388785449,0.217612030013841,0.5713727023856081,0.8421528105810109,0.6764525404837901,88
THTG,2019-01-01,2025-12-31,0.883682306837029,0.8856315116112287,0.6475185677871477,0.8657217909158789,0.2699071678210582,0.305240385122476,0.3299945770565336,0.25718357967959504,0.277945002054769,0.47312191801518194,0.5167374149101521,0.7280899400022899,0.9855299178725069,0.8226374202810524,0.6764334417082406,89
MBAR,2019-01-01,2025-12-31,0.6094382446325509,0.8640124800247798,0.5838904569928124,0.8955704679063341,0.9548789108519888,0.4063723711267869,0.31941024665961165,0.8574108561423088,0.6927494191584359,0.7755670460046928,0.684704324260681,0.3451108251332058,0.9436840046929996,0.872614978583481,0.6752976205412076,90
NRMD,2019-01-01,2025-12-31,0.9416113482204793,0.8814127536657353,0.477238014052461,0.8581555298417882,0.38263175197838956,0.4366907502258272,0.36351686160793617,0.22174874691296573,0.2995854667099945,0.39197306847305863,0.5804567301046074,0.6642779270580716,0.40633554947203754,0.8405545783412433,0.6738708505309653,91
REUN,2019-01-01,2025-12-31,0.9381056714096235,0.8796579439184001,0.6741511100215242,0.8835840183795816,0.2503402827190182,0.285160084216604,0.31453495866530295,0.34079870511849747,0.3670555288449115,0.38881418398217343,0.5290872737032905,0.27478849671829975,0.9878764176769652,0.8701938966618927,0.6718927498587856,92
CCJ2,2019-01-01,2025-12-31,0.8568254529755391,0.8928566892008263,0.6183963946421267,0.8635399772675201,0.5004257831634702,0.4908387178171193,0.40899882350079797,0.153224968880548,0.27901167052231324,0.37531852382513925,0.5803438912312038,0.1862831087289898,0.986703167774736,0.827910215224255,0.6698694702440743,93
